Dept_Code,Dept_Name,Code Link,Goal,Objective,Measure,Actual_2022,Actual_2023,Actual_2024,Actual_2025,Projected_2026,Projected_2027
00117000,Building Construction and Maintenance,V,"Provide safe, clean, and efficient public facilities for staff, citizens, and visitors","Complete ≥ 3,000 work orders annually within the department’s established timeframes",Number of work orders completed within the department’s established timeframe per fiscal year,"3,000","3,200","3,439","3,600","3,800","3,800"
00117000,Building Construction and Maintenance,V,"Provide safe, clean, and efficient public facilities for staff, citizens, and visitors",Inspect and maintain County facilities and parks per year,Number of facilities maintained and inspected per year,113,116,115,115,115,115
10326000,Building Department,I,"Ensure safe, quality construction",Complete building inspections annually with ≥ 98% accuracy,Number of building inspections conducted successfully per fiscal year,"27,304","27,502","25,767","28,000","28,000","28,000"
10326000,Building Department,I,"Ensure safe, quality construction",Issue or renew contractor licenses to qualified applicants,Number of contractor licenses issued and/or renewed per fiscal year,1364,"1,468","1,664","1,700","1,700","1,700"
00102030,Code Compliance,V,Promote voluntary compliance to maintain community standards and resolve code violations,Encourage voluntary compliance through education and outreach without formal enforcement action,Percentage of code violations resolved through voluntary compliance without formal enforcement action,93.50%,93.50%,94%,94%,94%,95%
00102030,Code Compliance,V,Promote voluntary compliance to maintain community standards and resolve code violations,Efficiently resolve all identified street and beach code cases annually,Total number of street and beach code cases resolved annually,"10,643","10,865","10,215","11,500","11,000","8,000"
00102000,County Administration,II,Deliver effective and transparent administration to support County operations,"Ensure timely implementation of BCC directives, task orders, and agreements","Number of BCC directives, task orders, and agreements processed annually",213,215,368,350,360,360
00102000,County Administration,II,Deliver effective and transparent administration to support County operations,Increase total watch time on social media platforms to boost community awareness of County activities,Total watch time on social media platforms measured in hours,"3,000","3,200","3,019","3,000","3,100","3,100"
00102000,County Administration,II,Deliver effective and transparent administration to support County operations,Create and publish more public videos to communicate initiatives and services,Number of public videos created on social media platforms,65,83,105,120,130,130
00108000,County Libraries,VII,"Deliver high-quality library services, resources, and programs that foster learning, literacy, and community engagement",Provide diverse on-site programs and outreach services to engage visitors of all ages,Total number of visitors and program attendees annually,"136,843","143,477","215,223","220,000","225,000","230,000"
00108000,County Libraries,VII,"Deliver high-quality library services, resources, and programs that foster learning, literacy, and community engagement",Maintain and grow physical and digital collections to meet community needs,Number of new items added to the library collection (physical and digital) annually,"5,873","6,467","8,844","7,000","7,500","7,000"
00112010,Eagle Springs Golf and Recreation Center,VII,Provide high-quality and accessible recreational opportunities for all residents and visitors,"Maintain and improve the quality of facilities, programs, and events to meet community needs",Total number of rounds played per fiscal year,"29,878","31,153","33,589","38,514","42,000","43,000"
00112010,Eagle Springs Golf and Recreation Center,VII,Provide high-quality and accessible recreational opportunities for all residents and visitors,"Maintain and improve the quality of facilities, programs, and events to meet community needs",Total number of pool attendees during the open season,"2,858","3,018","2,606","2,700","2,750","2,750"
00112040,Eagle Springs Grill,VII,Provide exceptional dining and event services that enhance community engagement,Maintain high standards of food quality and service while hosting events that support community and financial goals,Total number of guest checks processed per fiscal year,"7,824","39,048","50,206","55,000","55,000","60,000"
00112040,Eagle Springs Grill,VII,Provide exceptional dining and event services that enhance community engagement,Maintain high standards of food quality and service while hosting events that support community and financial goals,Number of events hosted,5,42,50,55,60,65
00111001,Emergency Management,V,"Enhance community preparedness, readiness, and resilience through education, training, outreach, and volunteer engagement to effectively mitigate and respond to disasters","Enhance community preparedness through outreach and education using in-person presentations, preparedness events, and leveraging technology (website and social media)","Number of community outreach events held, and total participants reached per fiscal year","23 & 20,000","23 & 20,000","23 & 21,000","24 & 22,000","24 & 22,000","24 & 22,000"
00111001,Emergency Management,V,"Enhance community preparedness, readiness, and resilience through education, training, outreach, and volunteer engagement to effectively mitigate and respond to disasters",Increase volunteer engagement through CERT (Community Emergency Response Team) to build capacity and resilience,Number of CERT volunteer hours contributed per fiscal year,"2,500","2,500","2,500","2,500","2,500","2,500"
00120000,Engineering Department,I,"Support infrastructure planning and delivery by maintaining and updating the Capital Improvement Plan (CIP), providing transparent reporting, and coordinating engineering support for County projects",Update and gain approval of the five-year Capital Improvement Plan annually,Was the five-year Capital Improvement Plan (CIP) updated and approved?,N/A,N/A,Yes,Yes,Yes,Yes
00120000,Engineering Department,I,"Support infrastructure planning and delivery by maintaining and updating the Capital Improvement Plan (CIP), providing transparent reporting, and coordinating engineering support for County projects",Publish and approve quarterly and annual engineering reports,Have the quarterly reports and the annual reports been published and approved?,N/A,N/A,Yes,Yes,Yes,Yes
00120000,Engineering Department,I,"Support infrastructure planning and delivery by maintaining and updating the Capital Improvement Plan (CIP), providing transparent reporting, and coordinating engineering support for County projects",Maintain the department website with current information on active projects,Has the department website been updated to reflect the current status of active projects?,N/A,N/A,Yes,Yes,Yes,Yes
00119000,Environmental Resources,IV,"Protect and enhance Walton County’s natural resources through proactive conservation, compliance, and restoration initiatives",Conduct regular stormwater inspections to ensure compliance with NPDES and environmental regulations,Number of stormwater inspections performed and compliance with NPDES regulations,77,77,78,80,80,80
00119000,Environmental Resources,IV,"Protect and enhance Walton County’s natural resources through proactive conservation, compliance, and restoration initiatives","Implement and complete environmental conservation projects (e.g., reef deployments, habitat plans) to improve ecosystem health","Number of environmental conservation projects completed per fiscal year (e.g. reef deployments, habitat plans)",10,10,10,12,13,13
00113000,Extension Office,IV,"Provide relevant, research-based education and outreach to improve the quality of life for Walton County residents and visitors",Deliver engaging educational programs to meet community needs,Number of participants attending extension educational programs per calendar year,"6,582","6,582","5,110","5,000","5,000","5,000"
00113000,Extension Office,IV,"Provide relevant, research-based education and outreach to improve the quality of life for Walton County residents and visitors",Offer individualized client consultations to support informed decision-making,"Number of client consultations performed per calendar year (email, text, field, office, telephone)","2,675","2,675","2,899","2,600","2,600","2,600"
00113000,Extension Office,IV,"Provide relevant, research-based education and outreach to improve the quality of life for Walton County residents and visitors",Expand reach through social media and other communication channels,Number of people reached through social media engagement per calendar year,"40,373","40,373","37,000","40,000","40,000","40,000"
00105000,Geographic Info Systems,II,"Provide accessible, accurate, and innovative GIS resources to support decision-making and improve customer service","Enhance customer support through timely GIS assistance, develop and maintain comprehensive GIS data, and produce accurate maps and interactive tools","Customer GIS assistance (Walk-ins, Email, Phone) for address, GIS maps, website, & interactive maps","3,782","3,782","3,900","4,000","4,150","4,250"
00105000,Geographic Info Systems,II,"Provide accessible, accurate, and innovative GIS resources to support decision-making and improve customer service","Enhance customer support through timely GIS assistance, develop and maintain comprehensive GIS data, and produce accurate maps and interactive tools",Maps produced (Paper & Digital),"2,497","2,497","2,350","2,420","2,625","2,700"
00105000,Geographic Info Systems,II,"Provide accessible, accurate, and innovative GIS resources to support decision-making and improve customer service","Enhance customer support through timely GIS assistance, develop and maintain comprehensive GIS data, and produce accurate maps and interactive tools","GIS data added and maintained, including streets, building footprints, address, etc.","9,865","9,865","9,953","10,252","10,355","10,500"
