Budget Project Name(s),Dept,Budget Project Code(s),Commissioner District,Estimated Completion Date,Budget Fund(s),Funding Source,Location Name,Operational Impact,Pertinent Information,Project Manager,Project Narrative,Project Phase,Status,Project Priority,Start Date,Strategic Goals,Budget Org Code(s),Budget Account Code(s),Budget Account Name(s),In-House Engineering,FY2027 Proposed,FY2028 Proposed,FY2029 Proposed,FY2030 Proposed,FY2031 Proposed,Total FY2027-FY2031,Status Notes,Last Updated,Last Updated By,FY 2022 Proposed,FY2023 Proposed,FY2024 Proposed,FY2025 Proposed,YouTube Video URL,FY2026 Proposed
Baldwin Library/Learning Center,Administration,10749,District 3,,Capital Projects Fund,,,,,Caitlin Cerise,,Identification,,None,,,30047000,562000,Buildings,,$0,$0,$0,"$8,000,000",$0,"$8,000,000",,8/27/2026,,,,,,,
Roof Replacement Fire Station 4 DeFuniak Springs,Building & Construction Maintenance,,District 2,,Capital Projects Fund,,,,,,,Identification,,,,,,,,,"$515,000",$0,,,,"$515,000",,8/27/2026,,,,,,,
Coastal Branch Library Expansion,Administration,10750,District 5,,Capital Projects Fund,,,,,Caitlin Cerise,,Identification,,None,,,30047000,562000,Buildings,,$0,$0,$0,"$3,000,000",$0,"$3,000,000",,,,,,,,,
US 331 Bridge Lighting,Engineering,10751,,,Tourist Development Fund,"Per the latest from FDOT, Total Project Cost is approximately $8,807,000 with the following breakdown:

$606,466 (Remaining Design Funds from Legislative Appropriation No. 1)
$2,900,000 ( Legislative Appropriation No.2- Per FDOT)
$2,900, 000 (Legislative Appropriation No.2 Local Match Requirement- Per FDOT)

Unfunded Need= Approximately $2,400,000

Total County Contribution = $2.9 M + $2.4 M = $5.3 M",US 331 Clyde B Wells Bridge,,,FDOT,"The proposed project will incorporate bridge lighting across the US 331 Clyde B Wells Bridge in Walton County, FL. This project has been designed by an FDOT Consultant with design funds being allocated through a State legislative appropriation.",Construction,,High – Strategic Growth,,,11141000,563000,Infrastructure,,"$6,000,000",$0,$0,$0,$0,"$6,000,000",,,,,,,,,
Recreational Infrastructure,Administration,,Countywide,,Capital Projects Fund,,,,,,,Identification,,,,,,,,,"$2,983,198",$0,$0,$0,$0,"$2,983,198",,,,,,,,,
Building Construction & Maintenance Facility,Building & Construction Maintenance,,District 3,,Capital Projects Fund,,,,,Brad Alford,,Identification,Programmed,None,,,,,,,$0,"$3,500,000",$0,$0,$0,"$3,500,000",,,,,,,,,
ABT Martin (Dirt To Pave),Public Works,,District 3,,Transportation Fund,,ABT Martin Road,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, washboarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,,High – Strategic Growth,,,,,,,$0,$0,$0,$0,"$68,000","$68,000",,,,,,,,,
Alderberry Connector Road Extension,Engineering,,District 4,,Capital Projects Fund,"The proposed funding source for the Design phase (FY 27) will be with in-house engineering staff. The budgeted amount of $600,000 would be the anticipated cost for outsourcing of the project.

The proposed funding source for the Construction phase (FY 31) has yet to be determined but staff will continue to evaluate any applicable and appropriate grant sources that may be available to either partially or fully fund this project.",Alderberry Connector Rd Extension,,,County Engineering,"This project proposes a new two (2) lane roadway from East Hewett Rd to Don Bishop Rd (via Mario Rd). Project intent is to include Complete Street elements, such as paths, sidewalks, trail or bike lanes.

This project is part of a phased approach to create an alternative roadway connection to US Hwy 98 and expand the transportation network system in an effort to provide alternate routes, improve safety response time for emergency vehicles, alleviate congested roadways, enhance transportation route redundancy, and improve mobility options in the area.",Design,,High – Strategic Growth,,,,,,"$600,000",$0,$0,$0,$0,"$7,900,000","$8,500,000",,,,,,,,,
Amaryllis Lane (Dirt To Pave),Public Works,10533,District 3,,Transportation Fund,,Amaryllis Lane,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,10116001,563000,Infrastructure,,$0,$0,"$76,000",$0,$0,"$76,000",,,,,,,,,
Arbour Street (Dirt To Pave),Public Works,10534,District 3,,Capital Projects Fund,,Arbour Street,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,,563000,Infrastructure,,$0,$0,$0,"$106,500",$0,"$106,500",,,,,,,,,
Bluebottle Court (Dirt to Pave),Public Works,,District 3,,Transportation Fund,,Bluebottle Court,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,,,,,$0,$0,$0,$0,"$26,000","$26,000",,,,,,,,,
Blue Gulf Resort Roadway & Drainage Improvements,Engineering,10535,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,"$2,500,000",$0,$0,$0,"$2,500,000",,,,,,,,,
